,trend_id,name,start_date,end_date,percentage_increase,previous_start_date,previous_end_date,previous_trend_duration,previous_percentage,classification,derivative,level,duration,harpoon_output_signal,harpoon_fuel,harpoon_burnout,harpoon_h9,harpoon_h21,harpoon_h14,top_gun_output_signal,top_gun_top_gun_a,top_gun_top_gun_b,top_gun_fuel,top_gun_burnout,maverick_output_signal,maverick_fuel,maverick_burnout,wind_output_signal,wind_crossover,sonar_output_signal,sonar_fuel,sonar_burnout,DAY,Coverage,Storm,Storm_Actual,Storm_Impact,date,Storm_MA30,Storm_MA7,binaryverdict_grouchy,Grouchy SVM,BinaryVerdictBernadotte,Bernadotte SVM,binaryverdict_Marmont,bernadotte_random_forest,Marmont_random_forest,Grouchy_random_forest
12,2454,AAL,31/12/2018,11/02/2019,13.95203817,26/11/2018,31/12/2018,35.0,-15.7217798,Marshal Ney,0.332,9,42,0.0,0.0,0.0,0.224524495,0.211610445,0.225597045,0.0,79.07652063,88.62487291,0.0,0.0,56.74422185,57.58763332,0.0,24.0371014,28.32828514,0.673986271,38.55303901,30.7219608,20181231,535,86.68401337,86.41719055,113.26931,31/12/2018 0:00,87.69365692,62.6234436,1,1,1,1,1,1,1,1
13,2455,AAL,11/02/2019,21/03/2019,-14.04755225,31/12/2018,11/02/2019,42.0,13.95203817,Marshal Grouchy,-0.37,8,38,0.0,0.0,0.0,0.014543361,0.05415411,0.010581286,0.0,31.74598617,30.09123215,0.0,0.0,33.78423719,35.86290136,0.0,50.14196362,9.064125446,0.194283713,36.9584072,29.51359292,20190211,652,96.53187561,91.16976166,84.49398041,11/02/2019 0:00,91.47813416,75.76660919,0,0,1,1,1,1,1,0
14,2456,AAL,21/03/2019,22/04/2019,6.454685946,11/02/2019,21/03/2019,38.0,-14.04755225,Marshal Oudinot,0.202,7,32,0.0,0.0,0.0,0.196360325,0.150341242,0.235697818,0.0,66.12353353,70.09753646,0.0,0.0,58.64707587,58.5109913,0.0,38.41840475,39.90147567,0.724456891,36.12116788,29.7658322,20190321,820,88.87377167,56.38195038,107.4928284,21/03/2019 0:00,93.27670288,73.11930847,1,1,1,1,1,1,1,1
15,2457,AAL,22/04/2019,31/05/2019,-18.66786167,21/03/2019,22/04/2019,32.0,6.454685946,Marshal Grouchy,-0.479,8,39,0.0,0.0,0.0,0.0,0.062796841,0.0123513,0.0,0.0,0.0,0.0,0.0,22.26832352,33.22331511,0.0,54.32699477,10.18445752,0.086839066,36.18743585,27.40756423,20190422,587,95.93466949,90.01352692,84.4651947,22/04/2019 0:00,74.33823395,75.31652069,0,0,1,1,1,1,1,0
16,2458,AAL,31/05/2019,16/07/2019,25.67022327,22/04/2019,31/05/2019,39.0,-18.66786167,Marshal Messena,0.558,10,46,0.0,0.0,0.0,0.229980502,0.228373822,0.193371897,0.0,92.37663948,83.79451492,0.0,0.0,60.76236676,55.86952028,0.0,30.34137124,31.78806514,0.914785258,33.83732344,31.16967672,20190531,792,104.5633698,33.35728455,146.0721741,31/05/2019 0:00,106.5562592,72.70544434,1,1,1,1,1,1,1,1
17,2459,AAL,16/07/2019,26/08/2019,-26.38807821,31/05/2019,16/07/2019,46.0,25.67022327,Marshal Grouchy,-0.644,9,41,0.0,0.0,0.0,0.022530623,0.009328958,0.013709183,0.0,72.38524933,64.39549206,0.0,0.0,29.47928344,29.8686516,0.0,55.16453296,18.70861128,0.166625074,31.54204195,24.19595835,20190716,694,76.37043762,28.55076218,111.1327209,16/07/2019 0:00,99.26834869,77.75623322,0,0,1,1,1,1,1,0
18,2460,AAL,26/08/2019,17/09/2019,13.69590624,16/07/2019,26/08/2019,41.0,-26.38807821,Marshal Murat,0.623,5,22,0.0,0.0,0.0,0.247799642,0.098926422,0.181738304,0.0,85.91808269,95.30602756,0.0,0.0,47.88764283,49.4012183,0.0,33.20587462,40.58084298,0.602202932,30.40309291,23.78390775,20190826,574,121.1914978,69.03912354,143.963623,26/08/2019 0:00,109.2383881,100.8694763,1,1,1,1,1,1,1,1
19,2461,AAL,17/09/2019,4/10/2019,-9.811450858,26/08/2019,17/09/2019,22.0,13.69590624,Marshal Grouchy,-0.577,4,17,0.0,0.0,0.0,0.001629262,0.151060453,0.073167714,0.0,0.0,0.712169991,0.0,0.0,32.35026119,44.50255961,0.0,30.20126524,9.179506925,0.009342324,30.46398141,25.22101901,20190917,693,253.3421173,200.1437225,325.9297485,17/09/2019 0:00,93.62651825,114.5545807,0,0,1,1,1,1,1,0
20,2462,AAL,4/10/2019,5/11/2019,20.71235152,17/09/2019,4/10/2019,17.0,-9.811450858,Marshal Murat,0.647,7,32,0.0,0.0,0.0,0.224747624,0.186734277,0.237397383,0.0,43.50231371,46.40978835,0.0,0.0,66.82113754,63.87957755,0.0,40.75637503,43.41879994,0.836271594,31.95933095,25.79466952,20191004,774,111.2748871,59.73281097,135.2340393,4/10/2019 0:00,92.20869446,73.28337097,1,1,1,1,1,1,1,1
21,2463,AAL,5/11/2019,10/12/2019,-13.40603035,4/10/2019,5/11/2019,32.0,20.71235152,Marshal Grouchy,-0.383,8,35,0.0,0.0,0.0,0.104275924,0.068708634,0.031917114,0.0,23.29176797,14.0911238,0.0,0.0,39.81554167,43.03568946,0.0,33.26878467,19.16666749,0.200505089,30.19551599,26.81148417,20191105,680,77.94277191,48.56428528,97.2177887,5/11/2019 0:00,96.45836639,78.48402405,0,0,1,1,1,1,1,0
